blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,longitude,latitude
107,GANGSA RD,13,1986,Y,N,N,Y,N,N,BP,60,0,0,0,0,0,60,0,0,0,0,0,0,103.766715,1.377985
107,HOUGANG AVE 1,1,1982,N,Y,N,N,N,N,HG,0,0,0,0,0,0,0,0,0,0,0,0,0,103.890688,1.353417
107,JLN BT MERAH,12,1967,Y,Y,N,N,N,N,BM,222,0,0,218,4,0,0,0,0,0,0,0,0,5.962479,50.300081
107,JLN RAJAH,13,1983,Y,Y,N,N,N,N,KWN,96,0,0,0,48,48,0,0,0,0,0,0,0,103.855044,1.327866
107,JURONG EAST ST 13,12,1981,Y,Y,N,Y,N,N,JE,60,0,0,0,0,25,35,0,0,0,0,0,0,103.738151,1.337795
107,LENGKONG TIGA,4,1988,Y,N,N,N,N,N,BD,8,0,0,0,0,0,8,0,0,0,0,0,0,103.910188,1.324952
107,LOR 1 TOA PAYOH,10,1968,Y,Y,N,N,N,N,TP,96,0,0,96,0,0,0,0,0,0,0,0,0,103.847368,1.341233
107,PASIR RIS ST 12,13,1988,Y,N,N,N,N,N,PRC,96,0,0,0,54,42,0,0,0,0,0,0,0,103.957514,1.367494
107,POTONG PASIR AVE 1,14,1984,Y,Y,N,N,N,N,TP,104,0,0,65,39,0,0,0,0,0,0,0,0,103.868408,1.334633
107,PUNGGOL FIELD,3,2001,N,N,N,N,Y,N,PG,0,0,0,0,0,0,0,0,0,0,0,0,0,103.90768,1.396955
107,RIVERVALE WALK,17,1998,Y,N,N,N,N,N,SK,78,0,0,0,60,18,0,0,0,0,0,0,0,103.900363,1.382962
107,SERANGOON NTH AVE 1,13,1984,Y,Y,N,N,N,N,SGN,112,0,0,111,0,1,0,0,0,0,0,0,0,103.870228,1.369905
107,SIMEI ST 1,11,1987,Y,Y,N,Y,N,N,TAP,140,0,0,0,88,52,0,0,0,0,0,0,0,103.950409,1.342087
107,SPOTTISWOODE PK RD,25,1976,Y,N,N,N,N,N,BM,94,0,0,0,0,92,2,0,0,0,0,0,0,103.834923,1.273615
